Chapter,Sub chapter,Toponym,Gazetteer ID,country ,lat,long
1,2,India,geonames:1269750,IN,22,79
1,2,England,geonames:6269131,GB,52.16045,-0.70312
1,2,Aldworth,geonames:2657522,GB,51.50981,-1.20111
1,2,Bahrain,geonames:290291,BH,26.03333,50.55
1,2,Persia,geonames:130758,IR,32,53
1,2,Persia,geonames:130758,IR,32,53
1,2,India,geonames:1269750,IN,22,79
1,2,Kerridge,,,,
1,2,Persia,geonames:130758,IR,32,53
1,2,Persia,geonames:130758,IR,32,53
1,2,Persia,geonames:130758,IR,32,53
1,2,East India,geonames:1269750,IN,22,79
1,2,London,geonames:2643743,GB,51.50853,-0.12574
1,2,India,geonames:1269750,IN,22,79
1,2,Spain,geonames:2510769,ES,40,-4
1,2,Teixeira,geonames:2733642,PT,41.44507,-6.50451
1,2,Persian Gulf,geonames:6915989,IR,27,51
1,2,Persian Gulf,geonames:6915989,IR,27,51
1,2,Bahrain,geonames:290291,BH,26.03333,50.55
1,2,Persia,geonames:130758,IR,32,53
1,2,India,geonames:1269750,IN,22,79
1,2,Bandar,geonames:1215498,ID,2.05,99.75
1,2,Masqat,geonames:287286,OM,23.58413,58.40778
1,2,Madrid,geonames:3117735,ES,40.4165,-3.70256
1,2,Spain,geonames:2510769,ES,40,-4
1,2,Goa,geonames:1712808,PH,13.6978,123.4892
1,2,Persia,geonames:130758,IR,32,53
1,2,Spain,geonames:2510769,ES,40,-4
1,2,Persia,geonames:130758,IR,32,53
1,2,Madrid,geonames:3117735,ES,40.4165,-3.70256
1,2,Persian Gulf,geonames:6915989,IR,27,51
1,2,Bandar,geonames:1215498,ID,2.05,99.75
1,2,Goa,geonames:1712808,PH,13.6978,123.4892
1,2,Persia,geonames:130758,IR,32,53
1,2,Erivan,geonames:616052,AM,40.18111,44.51361
1,2,Persia,geonames:130758,IR,32,53
1,2,Persian Gulf,geonames:6915989,IR,27,51
1,2,Persia,geonames:130758,IR,32,53
1,2,East India,geonames:1269750,IN,22,79
1,2,Persia,geonames:130758,IR,32,53
1,2,Persia,geonames:130758,IR,32,53
1,2,Persia,geonames:130758,IR,32,53
1,2,Persia,geonames:130758,IR,32,53
1,2,Bandar,geonames:1215498,ID,2.05,99.75
1,2,Spain,geonames:2510769,ES,40,-4
1,2,province of Sir,geonames:2658576,CH,46.22739,7.35559
1,2,Persia,geonames:130758,IR,32,53
1,2,Turkey,geonames:298795,TR,39,35
1,2,Persia,geonames:130758,IR,32,53
1,2,Europe,geonames:6255148,,48.69096,9.14062
1,2,Persia,geonames:130758,IR,32,53
